score,s_venue,s_code,s_business,s_method,s_gap,venue,arxiv_id,published,domains,title,journal_ref,strong_hits,url
48.9,30,0,14.0,3.0,0.0,SIGIR,2607.03880,2026-07-04,13-广告分析,Next-Gen Sponsored Search: Crafting the Perfect Query with Inventory-Aware RAG (InvAwr-RAG) Based GenAI,,advertis|campaign|e-commerce|inventory|sponsored search,https://arxiv.org/abs/2607.03880
48.7,30,0,5.2,6.0,2.5,VLDB,2608.09260,2026-08-10,09-DataAgent-LLM,SafeQL: Search-based Refinement for Safe and Efficient LLM-based Text-to-SQL,"Proc. VLDB Endow. 19(9): 2210-2223, 2026",,https://arxiv.org/abs/2608.09260
48.5,30,0,0.0,12.0,2.5,COLM,2607.27136,2026-07-29,08-知识图谱,KAMR: Grounding Generation via Knowledge-Aligned Multi-hop Retrieval,,,https://arxiv.org/abs/2607.27136
48.4,18,11,1.2,12.0,0.0,CIKM,2608.24176,2026-08-25,05-推荐系统,Tlow: Flow-based Item Tokenizer for Recommendation,,,https://arxiv.org/abs/2608.24176
48.1,18,15,0.0,6.0,2.5,NeurIPS,2608.29128,2026-08-29,16-智能体工程,"APIFlow-Bench: Measuring Whether Agents Survive Long, Dependent API Workflows",,,https://arxiv.org/abs/2608.29128
48.1,18,15,1.2,12.0,0.0,ACL,2607.03833,2026-07-04,09-DataAgent-LLM,Beyond Static Rules: Automated Discovery of Latent Vulnerabilities in Text-to-SQL,,,https://arxiv.org/abs/2607.03833
47.9,18,0,0.0,18.0,5.0,EMNLP,2609.01971,2026-09-02,10-MAS,NS-Copilot: An LLM-Driven Agent System for Autonomous Neuroscience Analysis,,,https://arxiv.org/abs/2609.01971
47.9,30,0,0.0,9.0,2.5,EMNLP,2608.26263,2026-08-26,16-智能体工程,SKILL.state: Scalable Long-Horizon Agent Skills,,,https://arxiv.org/abs/2608.26263
47.9,30,0,8.2,6.0,0.0,KDD,2607.22518,2026-07-24,05-推荐系统,PinEqualizer: Full Funnel Content Exploration and Debiasing System at Pinterest,,funnel|recommender,https://arxiv.org/abs/2607.22518
47.8,30,0,0.0,9.0,2.5,EMNLP,2608.26004,2026-08-26,16-智能体工程,AsymSpec: Context-Asymmetric Speculative Decoding for Agentic LLMs,,,https://arxiv.org/abs/2608.26004
47.8,18,0,3.5,20,0.0,EMNLP,2608.25343,2026-08-26,02-A_B实验,GUIDE: Generative Unsupervised Chinese Query Correction via Phonetic and Visual Shared-ID Encoding,,a/b test,https://arxiv.org/abs/2608.25343
47.8,30,0,0.0,12.0,5.0,ACL,2606.28379,2026-06-19,16-智能体工程,LEDGER: Scaling Agentic Document Editing with Dependency-aware Graph Retrieval,,,https://arxiv.org/abs/2606.28379
47.4,18,0,15.2,7.0,0.0,RecSys,2609.05748,2026-09-04,05-推荐系统,A Multi-Source Ensemble Approach to Candidate Generation for Alternative Vacation Rental Property Recommendations,,conversion|inventory|marketplace|recommendation system|recommender,https://arxiv.org/abs/2609.05748
47.4,18,11,0.0,9.0,2.5,EMNLP,2609.02094,2026-09-02,16-智能体工程,MASkills: Continual Skills Optimization for Multi-Agent LLM Systems,EMNLP 2026 Findings,,https://arxiv.org/abs/2609.02094
47.0,18,0,5.2,12.0,5.0,EMNLP,2608.30910,2026-08-31,16-智能体工程,S3C-LLM: Skill-Code Guided Agentic Language Models for Spectrum-to-Structure Elucidation,,,https://arxiv.org/abs/2608.30910
46.8,0,15,14.0,6.0,5.0,,2608.30730,2026-08-31,04-供应链|00-电商Agent,E-Commerce Bench: Evaluating LLM Agents on Long-Horizon Autonomous Business Operation,,e-commerce|inventory|pricing|promotion|return,https://arxiv.org/abs/2608.30730
46.5,18,0,12.2,9.0,0.0,EMNLP,2609.07143,2026-09-07,02-A_B实验,EAGER: Enrich-and-Align Generative Query Recommendation from Clicked Items in E-commerce Search,,a/b test|e-commerce,https://arxiv.org/abs/2609.07143
46.5,30,0,0.0,9.0,5.0,ICML,2607.09921,2026-07-10,16-智能体工程,Global Merger-Arbitrage Forecasting with Language Models,,,https://arxiv.org/abs/2607.09921
46.3,18,0,9.4,9.0,2.5,RecSys,2609.08443,2026-09-08,05-推荐系统,SequenceO1: End-to-End Ultra-Long (100K) Sequence Modeling in Recommendation with Low-Rank Caching,,recommendation system|recommender,https://arxiv.org/abs/2609.08443
46.2,0,11,8.2,15.0,5.0,,2609.03369,2026-09-03,05-推荐系统,HypRQ-VAE: Hyperbolic Item Indexing for Long-Tail-Aware Generative Recommender Systems,,catalog|recommender,https://arxiv.org/abs/2609.03369
46.2,30,0,4.0,3.0,2.5,EMNLP,2608.29834,2026-08-30,16-智能体工程,You Know What I Mean: A Benchmark for Agentic Conversational Reference Grounding,,,https://arxiv.org/abs/2608.29834
46.2,30,0,0.0,9.0,2.5,ICML,2608.05791,2026-08-06,10-MAS,A Two-Tier Perspective on Inference-Time Parallelism in Multi-Agent LLM Systems,,,https://arxiv.org/abs/2608.05791
46.1,30,0,4.0,6.0,0.0,EMNLP,2608.22152,2026-08-23,10-MAS,The Collaboration Tax: How Much LLM Multi-Agent Systems Pay to Coordinate,,,https://arxiv.org/abs/2608.22152
45.9,18,4,1.2,15.0,5.0,ECCV,2607.11523,2026-07-13,08-知识图谱,Vinci2: Providing Proactive Assistance in Continuous Egocentric Videos,,,https://arxiv.org/abs/2607.11523
45.7,0,15,7.0,15.0,2.5,,2608.24053,2026-08-25,02-A_B实验|00-电商Agent,WeMM-Embedding: WeChat Multi-Modal Embedding Technical Report,,a/b test|e-commerce,https://arxiv.org/abs/2608.24053
45.7,0,11,3.5,20,5.0,,2608.23400,2026-08-24,05-推荐系统,Adaptive Item-based Collaborative Structures via Noise Rescheduling in Diffusion for Generative Recommendation,,recommendation system,https://arxiv.org/abs/2608.23400
45.7,30,0,0.0,12.0,2.5,ICML,2606.28117,2026-06-26,11-AI人文,When One Adapter Speaks for Many: Discovering Low-Rank Redundancy in Continual Fine-Tuning,,,https://arxiv.org/abs/2606.28117
45.1,18,0,8.7,9.0,2.5,RecSys,2609.02730,2026-09-02,05-推荐系统,CORAL: An LLM-Native Harness for Production Recommender Systems,,recommender,https://arxiv.org/abs/2609.02730
45.1,0,11,12.9,15.0,0.0,,2608.22973,2026-08-24,02-A_B实验,Cascading Relevance-driven Recommendation Network for CTR Prediction in Trigger-Introduced Recommendation,,a/b test|e-commerce|shopping,https://arxiv.org/abs/2608.22973
45.0,18,0,19.2,3.0,0.0,SIGIR,2609.01628,2026-08-08,02-A_B实验,Marginal Expected Revenue for Jointly Ranking Auction and Fixed-Price Listings in E-Commerce Sponsored Search,,a/b test|e-commerce|inventory|marketplace|search ranking|seller|sponsored search,https://arxiv.org/abs/2609.01628
44.8,30,0,0.0,6.0,2.5,EMNLP,2608.25277,2026-08-26,10-MAS,Routed Graph Handoff: Adaptive Format Selection for Multi-Agent LLM Delegation,,,https://arxiv.org/abs/2608.25277
44.6,30,0,7.0,6.0,0.0,RecSys,2606.31031,2026-06-30,05-推荐系统,GenPage: Towards End-to-End Generative Homepage Construction at Netflix,,a/b test|recommender,https://arxiv.org/abs/2606.31031
44.3,0,15,0.0,20,2.5,,2608.31013,2026-08-31,03-时间序列|12-ML基础,TSPFN: A Temporal Tabular Foundation Model for Physiological Time Series Classification,,,https://arxiv.org/abs/2608.31013
44.3,30,0,0.0,9.0,2.5,COLM,2607.12310,2026-07-14,09-DataAgent-LLM,LakeQuest: A Three-Domain Benchmark for Grounded Question Answering across Data Lakes,,,https://arxiv.org/abs/2607.12310
44.3,30,0,4.7,9.0,0.0,KDD,2606.19658,2026-06-17,05-推荐系统,Denoising Implicit Feedback for Cold-start Recommendation,,recommender,https://arxiv.org/abs/2606.19658
44.2,18,0,0.0,20,0.0,CIKM,2608.23131,2026-08-24,05-推荐系统,A Dual-Expert Strategy Integrating LLMs to Mitigate Negative Transfer in Cross-Domain Sequential Recommendation,,,https://arxiv.org/abs/2608.23131
44.1,18,0,1.2,15.0,2.5,ICDE,2609.08950,2026-09-08,09-DataAgent-LLM,SQLMorph: Query Mutation and Fine-Grained Metrics for Text-to-SQL Evaluation,"2026 IEEE 42nd International Conference on Data Engineering (ICDE), pp. 2628-2640",,https://arxiv.org/abs/2609.08950
44.1,0,15,1.2,18.0,5.0,,2608.08612,2026-08-09,08-知识图谱,REVEAL: A Rubric-Guided Agent for Explicit Evidence Sufficiency Verificationin Long-Video Question Answering,,,https://arxiv.org/abs/2608.08612
43.6,18,0,3.5,15.0,0.0,CIKM,2609.04870,2026-09-04,02-A_B实验,CHAMP: Cross-domain Hybrid Architecture for Matchmaking and Prediction in Online Multi-Player Games,,a/b test,https://arxiv.org/abs/2609.04870
43.6,18,11,1.2,9.0,0.0,ICML,2608.01400,2026-08-02,12-ML基础,TabDPT-Turbo: Efficient In-Context Learning for Tabular Prediction,,,https://arxiv.org/abs/2608.01400
43.5,18,0,1.2,15.0,2.5,EMNLP,2609.00479,2026-08-31,08-知识图谱,EGT-KG: Evidence-Grounded Typed KG Retrieval for Practical Scientific QA with Small Language Models,EMNLP Industry track 2026,,https://arxiv.org/abs/2609.00479
43.5,18,0,11.0,9.0,0.0,RecSys,2608.15429,2026-08-15,05-推荐系统,SAGA: Structure-Attended Generative Action Embedding Model that encodes Multi-Surface User Action Sequences,,conversion|recommender,https://arxiv.org/abs/2608.15429
43.2,18,0,15.2,9.0,0.0,SIGIR,2606.23889,2026-06-22,13-广告分析,INSPIRE: Intent-aware Neural Sponsored Product Retrieval for E-commerce,,advertis|e-commerce|ecommerce|sponsored search,https://arxiv.org/abs/2606.23889
43.0,18,0,1.2,12.0,5.0,EMNLP,2609.00834,2026-09-01,09-DataAgent-LLM,Replacing Training with Memory: Listwise Selection for Text-to-SQL,,,https://arxiv.org/abs/2609.00834
43.0,0,11,7.0,20,0.0,,2608.09605,2026-08-10,05-推荐系统,TSPORec: Token Selection via Preference Optimization for LLM-Based Sequential Recommendation,,recommendation system|return,https://arxiv.org/abs/2608.09605
42.8,30,4,3.5,0.0,0.0,RecSys,2608.14021,2026-08-14,05-推荐系统,Residual Dominance as a Structural Account of Last-Item Reliance in Causal Self-Attention Recommenders,,recommender,https://arxiv.org/abs/2608.14021
42.7,0,11,2.4,20,2.5,,2609.00513,2026-09-01,08-知识图谱,ISO-RAG: Isoperimetric Noise Control for Retrieval-Augmented Generation,,,https://arxiv.org/abs/2609.00513
42.6,0,15,0.0,18.0,2.5,,2609.04540,2026-09-03,12-ML基础,Mitra-v2 Technical Report,,,https://arxiv.org/abs/2609.04540
42.3,0,15,0.0,18.0,2.5,,2608.30672,2026-08-31,16-智能体工程,HiRS-Agent: A Hierarchical Multi-Agent System for Reliable Long-Horizon Remote Sensing Task Solving,,,https://arxiv.org/abs/2608.30672
41.8,0,0,15.2,20,2.5,,2607.28070,2026-07-30,05-推荐系统,CCFormer: Efficient Cross-Field Interaction and Hierarchical Sequence Compression for Industrial Recommendation at Tencent,,a/b test|advertis|recommendation system|recommender,https://arxiv.org/abs/2607.28070
41.5,18,0,9.4,6.0,2.5,CIKM,2608.16274,2026-08-17,05-推荐系统,Decoupled Temporal Encoding for Generative Recommendation,,promotion|recommendation system,https://arxiv.org/abs/2608.16274
41.4,30,0,8.2,0,0.0,RecSys,2607.17184,2026-07-19,05-推荐系统,Learning Sparse Representations of Multimodal Content for Enhanced Cold Item Recommendation,,catalog|recommender,https://arxiv.org/abs/2607.17184
41.1,0,0,15.2,15.0,5.0,,2608.21130,2026-08-21,01-因果推断|15-营销投放分析,A Synthetic Benchmark Dataset with Endogenous Marketing Spend for Validating Marketing Mix Models,,advertis|promotion|return|sentiment,https://arxiv.org/abs/2608.21130
41.0,18,0,4.7,9.0,2.5,EMNLP,2609.01038,2026-09-01,02-A_B实验,Data-Driven Persona-Conditioned Agents for A/B Test Simulation,,a/b test,https://arxiv.org/abs/2609.01038
40.8,30,0,3.5,0.0,2.5,RecSys,2609.01627,2026-08-07,05-推荐系统,The Utility of LLMs in Recommender Systems Explanation Evaluation,,recommender,https://arxiv.org/abs/2609.01627
40.1,18,0,11.7,3.0,0.0,RecSys,2609.08725,2026-09-08,02-A_B实验,BAFF: Bid-Aware Filter Family for Mitigating Training Data Interference in RTB A/B Tests,,a/b test|bidding|pricing,https://arxiv.org/abs/2609.08725
40.0,0,15,4.7,15.0,2.5,,2607.12946,2026-07-14,05-推荐系统,ViHoRec: A Quality-Controlled Vietnamese Hotel Recommendation Dataset and Cold-Start Benchmark,,recommender,https://arxiv.org/abs/2607.12946
39.9,18,0,0.0,12.0,2.5,ECCV,2609.08025,2026-09-07,16-智能体工程,Eliciting Self-Verification in Multimodal Reasoning Agents with Reinforcement Learning,,,https://arxiv.org/abs/2609.08025
39.8,18,0,11.7,3.0,0.0,EMNLP,2609.04813,2026-09-04,02-A_B实验,Inventory-Grounded Policy-Level Optimization for Training-Free AI Search,,a/b test|catalog|inventory,https://arxiv.org/abs/2609.04813
39.7,0,15,3.5,20,0.0,,2606.27684,2026-06-26,05-推荐系统,Intuition-Guided Latent Reasoning for LLM-Based Recommendation,,recommender,https://arxiv.org/abs/2606.27684
39.7,18,0,3.5,18.0,0.0,AAAI,2606.15146,2026-06-13,02-A_B实验,Contextual Bandits for Maximizing Stimulated Word-of-Mouth Rewards,,bandit,https://arxiv.org/abs/2606.15146
39.6,0,11,1.2,15.0,5.0,,2609.08273,2026-09-08,16-智能体工程,MemForest: Efficient Agent Memory Management via EventTree Partitioning and Progressive Merging,,,https://arxiv.org/abs/2609.08273
39.6,30,0,0.0,3.0,2.5,ICML,2607.27546,2026-07-30,12-ML基础,Memory Efficient Tabular Foundation Models,FMSD @ ICML 2026,,https://arxiv.org/abs/2607.27546
39.4,0,15,0.0,12.0,5.0,,2609.08944,2026-09-08,16-智能体工程,SkillAdam: Stable and Efficient Skill Evolution for Agents,,,https://arxiv.org/abs/2609.08944
39.4,0,15,4.7,15.0,2.5,,2607.06229,2026-07-07,09-DataAgent-LLM,Spider 2.0-AIFunc: Extending Real-World Text-to-SQL to AI-Native SQL Workflows,,sentiment,https://arxiv.org/abs/2607.06229
39.3,18,0,1.2,12.0,2.5,VLDB,2608.16045,2026-08-17,09-DataAgent-LLM,Walk Before You Run: The Importance of Data Exploration for Data Analysis Agents,,,https://arxiv.org/abs/2608.16045
39.2,18,0,0.0,15.0,0.0,CIKM,2608.22634,2026-08-23,08-知识图谱,GeoRisk-RAG: A Hierarchy-Aware Risk Framework for Improving RAG Reliability through Selective Answering,,,https://arxiv.org/abs/2608.22634
39.1,0,15,10.5,6.0,2.5,,2608.10257,2026-08-10,02-A_B实验|05-推荐系统|16-智能体工程,GenRec: An LLM-Backed Recommendation Ranker at Netflix,,a/b test|catalog|recommender,https://arxiv.org/abs/2608.10257
39.0,0,15,1.2,12.0,7,,2607.24663,2026-07-27,08-知识图谱,A corrective agentic hybrid RAG and an operations-grounded evaluation for a scientific facility,,,https://arxiv.org/abs/2607.24663
38.9,18,0,4.7,9.0,0.0,CIKM,2609.06219,2026-09-05,05-推荐系统,Closing the Long-Short View Gap in Sequential Recommendation without Cached History,,recommender,https://arxiv.org/abs/2609.06219
38.8,0,11,1.2,15.0,5.0,,2608.28978,2026-08-29,08-知识图谱|16-智能体工程,Selective Forgetting: A Graph-Based Memory Framework for Long-Term LLM Agents,,,https://arxiv.org/abs/2608.28978
38.8,0,15,0.0,15.0,2.5,,2608.25559,2026-08-26,16-智能体工程,AdaVDR: Adaptive Tool Use and Reflection for Video Deep Research,,,https://arxiv.org/abs/2608.25559
38.6,18,0,3.5,9.0,2.5,CIKM,2608.15949,2026-08-16,05-推荐系统,Ask to Be Sure: Informative Interactions for Confident Multi-Turn LLM Recommendation,,recommender,https://arxiv.org/abs/2608.15949
38.6,30,0,3.5,0,0.0,RecSys,2608.10700,2026-08-11,05-推荐系统,Deciding When to Rely on Visual Information: Gated Multimodal Fusion in Sequential Recommendation,,recommender,https://arxiv.org/abs/2608.10700
38.5,0,15,0.0,15.0,2.5,,2608.21939,2026-08-22,09-DataAgent-LLM,Enhancing Group Recommendation with Memory-Augmented Reasoning in LLM Agent,,,https://arxiv.org/abs/2608.21939
